sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
138956,https://sofifa.com/player/138956/giorgio-chiellini/200002,G. Chiellini,Giorgio Chiellini,CB,89,89,24500000.0,210000.0,34,1984-08-14,187,85,45.0,Juventus,Italian Serie A,1,LCB,3,,2005-07-01,2020,27,Italy,1343.0,LCB,3,Left,3,2,4,Medium/High,Normal (185+),Yes,40400000,"#Tackling, #Tactician, #Strength, #Complete Defender","Long Throw-in, Injury Prone, Dives Into Tackles (AI), Power Header",68,46,58,60,90,82,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3,,59+3,59+3,59+3,56,56,56,56,56,56+3,56+3,56+3,58+3,62+3,62+3,62+3,58+3,74+3,77+3,77+3,77+3,74+3,77+3,86+3,86+3,86+3,77+3,12+3,https://cdn.sofifa.net/players/138/956/20_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1343/60.png,https://cdn.sofifa.net/flags/it.png
153079,https://sofifa.com/player/153079/sergio-aguero/200002,S. Agüero,Sergio Leonel Agüero del Castillo,ST,89,89,60000000.0,300000.0,31,1988-06-02,173,70,10.0,Manchester City,English Premier League,1,ST,10,,2011-07-28,2021,52,Argentina,1369.0,ST,9,Right,4,4,4,High/Medium,Stocky (170-185),Yes,111000000,"#Dribbler, #Clinical Finisher, #Complete Forward","Leadership, Chip Shot (AI)",80,90,77,88,33,74,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14,,87+2,87+2,87+2,86,88,88,88,86,86+3,86+3,86+3,84+3,77+3,77+3,77+3,84+3,61+3,58+3,58+3,58+3,61+3,57+3,51+3,51+3,51+3,57+3,22+3,https://cdn.sofifa.net/players/153/079/20_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/200002,Sergio Ramos,Sergio Ramos García,CB,89,89,31500000.0,300000.0,33,1986-03-30,184,82,243.0,Real Madrid CF,Spain Primera Division,1,LCB,4,,2005-08-01,2020,45,Spain,1362.0,RCB,15,Right,3,3,4,High/Medium,Normal (170-185),Yes,64600000,"#Aerial Threat, #Tackling, #Tactician, #Complete Defender","Dives Into Tackles (AI), Leadership, Long Passer (AI), Power Header, Team Player",72,68,75,73,87,85,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11,,75+3,75+3,75+3,72,73,73,73,72,74+3,74+3,74+3,74+3,78+3,78+3,78+3,74+3,81+3,84+3,84+3,84+3,81+3,83+3,87+2,87+2,87+2,83+3,18+3,https://cdn.sofifa.net/players/155/862/20_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
176580,https://sofifa.com/player/176580/luis-suarez/200002,L. Suárez,Luis Alberto Suárez Díaz,ST,89,89,53000000.0,350000.0,32,1987-01-24,182,86,241.0,FC Barcelona,Spain Primera Division,1,ST,9,,2014-07-11,2021,60,Uruguay,,,,Right,4,3,5,High/Medium,Normal (170-185),Yes,108700000,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward","Solid Player, Outside Foot Shot",73,89,80,84,51,84,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37,,86+3,86+3,86+3,84,85,85,85,84,84+3,84+3,84+3,83+3,79+3,79+3,79+3,83+3,67+3,68+3,68+3,68+3,67+3,64+3,63+3,63+3,63+3,64+3,37+3,https://cdn.sofifa.net/players/176/580/20_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/uy.png
188545,https://sofifa.com/player/188545/robert-lewandowski/200002,R. Lewandowski,Robert Lewandowski,ST,89,89,64500000.0,230000.0,30,1988-08-21,184,80,21.0,FC Bayern München,German 1. Bundesliga,1,ST,9,,2014-07-01,2021,37,Poland,1353.0,LS,9,Right,4,4,4,High/Medium,Normal (170-185),Yes,106400000,#Clinical Finisher,"Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",77,87,74,85,41,82,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10,,86+3,86+3,86+3,83,85,85,85,83,83+3,83+3,83+3,81+3,77+3,77+3,77+3,81+3,61+3,63+3,63+3,63+3,61+3,58+3,58+3,58+3,58+3,58+3,19+3,https://cdn.sofifa.net/players/188/545/20_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png
189511,https://sofifa.com/player/189511/sergio-busquets-burgos/200002,Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",89,89,55000000.0,300000.0,30,1988-07-16,189,76,241.0,FC Barcelona,Spain Primera Division,1,CDM,5,,2008-09-01,2023,45,Spain,1362.0,CDM,5,Right,3,3,4,Medium/Medium,Lean (185+),Yes,112800000,"#Playmaker, #Tactician ",Team Player,42,62,80,80,85,80,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13,,71+3,71+3,71+3,73,75,75,75,73,78+3,78+3,78+3,76+3,84+3,84+3,84+3,76+3,79+3,86+3,86+3,86+3,79+3,78+3,82+3,82+3,82+3,78+3,18+3,https://cdn.sofifa.net/players/189/511/20_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
193080,https://sofifa.com/player/193080/david-de-gea-quintana/200002,De Gea,David De Gea Quintana,GK,89,90,56000000.0,200000.0,28,1990-11-07,192,82,11.0,Manchester United,English Premier League,1,GK,1,,2011-07-01,2020,45,Spain,1362.0,GK,1,Right,3,1,4,Medium/Medium,Lean (185+),Yes,110600000,,"GK Long Throw, Cautious With Crosses, Saves with Feet",,,,,,,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92,58,35+3,35+3,35+3,36,38,38,38,36,42+3,42+3,42+3,39+3,43+3,43+3,43+3,39+3,36+3,41+3,41+3,41+3,36+3,36+3,35+3,35+3,35+3,36+3,87+3,https://cdn.sofifa.net/players/193/080/20_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
194765,https://sofifa.com/player/194765/antoine-griezmann/200002,A. Griezmann,Antoine Griezmann,"CF, ST, LW",89,89,69000000.0,370000.0,28,1991-03-21,176,73,241.0,FC Barcelona,Spain Primera Division,1,LW,17,,2019-07-12,2024,18,France,1335.0,CAM,7,Left,3,4,4,High/High,Normal (170-185),Yes,141500000,"#Dribbler, #Engine, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",81,86,84,89,57,72,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14,,86+3,86+3,86+3,87+2,87+2,87+2,87+2,87+2,87+2,87+2,87+2,87+2,83+6,83+6,83+6,87+2,73+6,71+6,71+6,71+6,73+6,71+6,65+6,65+6,65+6,71+6,21+6,https://cdn.sofifa.net/players/194/765/20_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
201024,https://sofifa.com/player/201024/kalidou-koulibaly/200002,K. Koulibaly,Kalidou Koulibaly,CB,89,91,67500000.0,145000.0,28,1991-06-20,187,89,48.0,Napoli,Italian Serie A,1,LCB,26,,2014-07-01,2021,136,Senegal,,,,Right,3,2,3,Medium/High,Normal (185+),Yes,119800000,"#Tackling, #Tactician, #Strength, #Complete Defender",Power Header,71,28,54,67,89,87,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5,,57+3,57+3,57+3,56,58,58,58,56,59+3,59+3,59+3,60+3,65+3,65+3,65+3,60+3,74+3,80+3,80+3,80+3,74+3,77+3,87+3,87+3,87+3,77+3,17+3,https://cdn.sofifa.net/players/201/024/20_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/sn.png
202126,https://sofifa.com/player/202126/harry-kane/200002,H. Kane,Harry Kane,ST,89,91,83000000.0,220000.0,25,1993-07-28,188,89,18.0,Tottenham Hotspur,English Premier League,1,ST,10,,2010-07-01,2024,14,England,1318.0,ST,9,Right,4,3,3,High/High,Normal (185+),Yes,159800000,"#Engine, #Distance Shooter, #Clinical Finisher","Leadership, Long Shot Taker (AI), Team Player",70,91,79,81,47,83,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11,,87+3,87+3,87+3,82,85,85,85,82,83+3,83+3,83+3,82+3,79+3,79+3,79+3,82+3,65+3,66+3,66+3,66+3,65+3,62+3,61+3,61+3,61+3,62+3,20+3,https://cdn.sofifa.net/players/202/126/20_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
212831,https://sofifa.com/player/212831/alisson-ramses-becker/200002,Alisson,Alisson Ramsés Becker,GK,89,91,58000000.0,155000.0,26,1992-10-02,191,91,9.0,Liverpool,English Premier League,1,GK,1,,2018-07-19,2024,54,Brazil,,,,Right,3,1,3,Medium/Medium,Normal (185+),Yes,111700000,,"GK Long Throw, Rushes Out Of Goal",,,,,,,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89,51,36+3,36+3,36+3,35,38,38,38,35,40+3,40+3,40+3,38+3,40+3,40+3,40+3,38+3,31+3,35+3,35+3,35+3,31+3,30+3,30+3,30+3,30+3,30+3,87+3,https://cdn.sofifa.net/players/212/831/20_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
215914,https://sofifa.com/player/215914/ngolo-kante/200002,N. Kanté,N'Golo Kanté,"CDM, CM",89,90,66000000.0,230000.0,28,1991-03-29,168,72,5.0,Chelsea,English Premier League,1,RCM,7,,2016-07-16,2023,18,France,1335.0,LDM,13,Right,3,2,3,Medium/High,Normal (170-),Yes,130400000,"#Tackling, #Tactician ",Solid Player,78,65,77,81,87,83,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10,,73+3,73+3,73+3,77,77,77,77,77,79+3,79+3,79+3,79+3,83+3,83+3,83+3,79+3,85+3,87+3,87+3,87+3,85+3,85+3,84+3,84+3,84+3,85+3,20+3,https://cdn.sofifa.net/players/215/914/20_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
231747,https://sofifa.com/player/231747/kylian-mbappe/200002,K. Mbappé,Kylian Mbappé Lottin,"ST, RW",89,95,93500000.0,150000.0,20,1998-12-20,178,73,73.0,Paris Saint-Germain,French Ligue 1,1,RW,7,,2018-07-01,2022,18,France,1335.0,RM,10,Right,4,5,3,High/Low,Normal (170-185),Yes,191700000,"#Speedster, #Dribbler, #Acrobat","Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",96,84,78,90,39,75,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6,,87+3,87+3,87+3,88,88,88,88,88,86+3,86+3,86+3,87+3,78+3,78+3,78+3,87+3,67+3,62+3,62+3,62+3,67+3,63+3,55+3,55+3,55+3,63+3,17+3,https://cdn.sofifa.net/players/231/747/20_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
152729,https://sofifa.com/player/152729/gerard-pique-bernabeu/200002,Piqué,Gerard Piqué Bernabéu,CB,88,88,38000000.0,280000.0,32,1987-02-02,194,85,241.0,FC Barcelona,Spain Primera Division,1,RCB,3,,2008-07-01,2022,45,Spain,,,,Right,3,2,4,High/Medium,Normal (185+),Yes,77900000,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender",Leadership,56,61,72,68,88,80,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8,,70+3,70+3,70+3,68,70,70,70,68,71+3,71+3,71+3,70+3,77+3,77+3,77+3,70+3,77+3,84+3,84+3,84+3,77+3,79+3,85+3,85+3,85+3,79+3,19+3,https://cdn.sofifa.net/players/152/729/20_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png
162835,https://sofifa.com/player/162835/samir-handanovic/200002,S. Handanovič,Samir Handanovič,GK,88,88,26000000.0,110000.0,34,1984-07-14,193,92,44.0,Inter,Italian Serie A,1,GK,1,,2012-07-01,2021,44,Slovenia,,,,Right,2,1,3,Medium/Medium,Normal (185+),Yes,44200000,,"GK Long Throw, Team Player",,,,,,,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89,53,30+3,30+3,30+3,28,30,30,30,28,30+3,30+3,30+3,30+3,31+3,31+3,31+3,30+3,30+3,31+3,31+3,31+3,30+3,29+3,29+3,29+3,29+3,29+3,86+2,https://cdn.sofifa.net/players/162/835/20_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/si.png
